uuid	value1	value2	value3
db834bb5-fe69-4edb-b0e2-e0d86d1b9a1b	-0.01842105 	0.00804290 	-0.00797872
f0d008af-50f8-4ba9-a345-cdee81504b5e	0.00000000 	0.00995025 	-0.00985222
7f2aa172-ac6a-4fda-97ac-debe41d21bb4	0.01049869 	0.01298701 	-0.01282051
906c18d0-2dc7-406f-adaa-c05e4705ec86	-0.18065967 	0.09881061 	-0.08992506
9612dff4-6ceb-4e4c-8e44-4b761fd30906	0.01298701 	0.02307692 	-0.02255639
aadf2638-aec4-4794-9162-313ed33d14a2	0.00212766 	0.00000000 	0.00000000
bfc7a061-749d-400b-bcab-0f3eb3d9283f	0.01558442 	-0.01023018 	0.01033592
92cb6ca2-9b92-4467-bc06-c7cf0cb37859	0.02234637 	0.06557377 	-0.06153846
a32132a3-0ae1-4cce-bcc0-b5512cffc3a9	-0.00393185 	-0.00657895 	0.00662252
72e7be3f-e9b9-4645-b18f-487818805c8f	-0.05903614 	-0.02688860 	0.02763158
d1019f3e-d1a1-4d3f-98ba-12bf142f1694	-0.02114428 	0.00381194 	-0.00379747
e59496c5-5990-430f-a29f-7d02b813a29d	-0.00385356 	0.00386847 	-0.00385356
d8e262c8-a84b-4f0c-bd06-483c8d48ef59	-0.00738916 	-0.00496278 	0.00498753
aceb3f98-9bdf-42ba-a9f4-3c5b0af5d8ef	0.06860158 	-0.00617284 	0.00621118
b623144e-cc73-4845-bcad-4717ce810c88	-0.03071017 	-0.04554455 	0.04771784
eb90ac44-631c-4eed-a715-9141ee474a2c	0.00000000 	-0.01612903 	0.01639344
545e4b4b-7569-45e6-984b-9590363b214f	-0.00475059 	0.07398568 	-0.06888889
c6b1cd03-8cf9-4547-8537-5cfd4f410c91	-0.01904762 	-0.01213592 	0.01228501
a9bd470b-c1a8-41b8-a1aa-5a8dc00b13bd	-0.02857143 	-0.01529412 	0.01553166
1a4aae5e-5645-4e3a-856d-fae73694df86	-0.01545254 	0.02690583 	-0.02620087
bbf49f74-6a08-48f0-96db-e9512fec3d95	0.27319588 	0.10040486 	-0.09124356
f720ec02-f597-4c0e-beee-43e63c1f539a	-0.00686499 	0.02304147 	-0.02252252
6ccd2a51-a12e-4dad-8b8d-33b019901be9	-0.00455581 	0.00000000 	0.00000000
70bc13ba-f898-4055-be4a-4b40f2f63c63	-0.00659341 	-0.01769911 	0.01801802
02cb55d4-9c1b-46ea-8962-14889b3e931d	0.00690449 	-0.02857143 	0.02941176
2a61014c-266f-45d1-b725-c0667a98b52c	0.00580720 	-0.00923788 	0.00932401
8f0b42f3-894c-4d74-b372-87112e79fd18	-0.01917178 	-0.00781861 	0.00788022
a975d08f-5b49-43d8-92cb-2056b9b1de89	-0.00845666 	0.05330490 	-0.05060729
fd2f2ad5-965f-4143-a371-86b687717554	0.00000000 	0.00000000 	0.00000000
56c396b2-84dc-4447-921b-70aab6226766	-0.01890756 	-0.00214133 	0.00214592
649e8e38-80c4-43b3-9878-244ba737d37d	0.05418719 	-0.00700935 	0.00705882
2f9d41f3-ffdd-4670-b11f-b768ab76aacf	0.01376147 	-0.00452489 	0.00454545
3851ff6c-356d-4701-a2ee-abdb53e802e3	0.00453515 	0.01354402 	-0.01336303
a69e45be-2909-4e79-b157-96e061100054	0.00393185 	-0.02349869 	0.02406417
cd0682ef-c648-4147-a68a-e60a1f65bb09	-0.01140684 	-0.01730769 	0.01761252
439d322c-3945-4abb-8989-4c5f35fcf228	-0.03173077 	0.13604767 	-0.11975524
bbc30bfe-7154-4780-a197-68d4bec9f3ce	0.00847458 	0.01680672 	-0.01652893
81bfc3f1-e04b-4250-9455-37f53705ab8a	-0.03958333 	0.03036876 	-0.02947368
c048f29d-a3a8-4598-b8df-97a5c3567cd8	-0.01945525 	0.01388889 	-0.01369863
987c816e-2d6c-4f21-820d-a9e749c8db68	-0.00210970 	-0.01902748 	0.01939655
e013f815-48dd-4c39-b128-f794ffc2ecbf	0.01131687 	-0.00915565 	0.00924025
ce95af56-8b57-4a96-acc0-594f96872ada	-0.00766284 	-0.00386100 	0.00387597
350c248e-17f5-4956-bd06-e2dd241d46b2	0.05000000 	-0.02484472 	0.02547771
04c5fd41-adfc-4c1e-a69c-a4c6bd899dc1	-0.03162791 	0.00864553 	-0.00857143
0d0cb052-397e-40b5-a009-ae81a8b9d1c5	0.00191571 	0.00382409 	-0.00380952
4d3d1641-fa93-4e64-b708-9a8c085ab86b	-0.16124031 	0.05175601 	-0.04920914
6582c9af-abdf-4e27-a207-65be5b885ced	-0.01941748 	0.00198020 	-0.00197628
2e75c01b-338a-4609-8c57-c0fe76ffcf0a	0.00967118 	-0.00766284 	0.00772201
22947421-39be-4356-9074-c1c08b1b53a0	-0.00579151 	-0.01941748 	0.01980198
9a0a90e8-e85d-484d-b012-63bff893505e	-0.01428571 	0.02053140 	-0.02011834
d9e03037-d512-4e78-bf29-107365268cd8	-0.00933707 	-0.01036758 	0.01047619
df9226dd-273a-41c7-bf88-af6cc1c2a15f	-0.01666667 	0.00753296 	-0.00747664
9acf6ea0-44bd-4665-9910-378a17336f8b	0.00950570 	0.00188324 	-0.00187970
39fd2f62-e656-4abe-b546-7fb897f3f8bc	0.01978417 	-0.00881834 	0.00889680
e87bc87e-e85c-4819-b638-ae2e0c028c49	0.02973978 	-0.01444043 	0.01465201
0eaf803e-e2a6-4fb0-891c-294b2364f187	0.01451906 	-0.00178891 	0.00179211
c2bea9aa-8848-46f4-98ae-4cc640952823	-0.01094891 	0.03505535 	-0.03386809
c79ed1de-a89b-4693-bf33-cdfed1ae07db	0.00805009 	0.01064774 	-0.01053556
68ae9ab4-d235-4940-b5e1-bf4df79478c5	0.01064774 	-0.03511852 	0.03639672
e65db6e3-2903-440e-85e8-1ca0e748b8e5	-0.00341880 	-0.01543739 	0.01567944
bea0e758-46c7-4cb8-86b6-3cff714c5c4f	0.04318937 	-0.02866242 	0.02950820
166443bb-16fd-491a-b225-0598b37140db	0.09995171 	0.10008780 	-0.09098164
f84cb01f-d9e8-401f-bc5e-9572bae605aa	-0.00583431 	0.00704225 	-0.00699301
7d9f2154-7b1d-4242-9486-20da391738d5	-0.01503759 	-0.00327154 	0.00328228
d9e3973c-d189-4429-8989-807676b356e3	0.00704225 	-0.00116550 	0.00116686
45608354-1173-4bab-90f6-e3cda3923783	0.00000000 	0.01604278 	-0.01578947
0384e2a8-6186-429a-a462-551a42bc92d2	0.00158730 	0.01584786 	-0.01560062
ca051dbe-3d72-4bac-a31c-7c5a2468b917	0.00671141 	-0.01333333 	0.01351351
86bbad88-d5a1-4227-92b7-9745399c1b02	0.01604278 	0.03157895 	-0.03061224
20851587-93e2-4666-a39f-475c4cf3ee1e	-0.00483092 	-0.00970874 	0.00980392
3e2e3579-6186-40af-a239-527a4160cb1a	0.00000000 	0.01520270 	-0.01497504
995d2baa-6d52-4936-b58d-bfb38715f430	-0.00648298 	-0.00489396 	0.00491803
a88dd237-5cfc-481e-bcce-3d3777afad76	0.10133630 	-0.01314459 	0.01331967
af08c823-a284-4aed-a494-1b6f7264bbdd	0.01138211 	0.11736334 	-0.10503597
1259e0f7-d1c3-4a9f-bdef-8ab208f5bdd7	0.03464567 	0.00456621 	-0.00454545
9413ea57-0d26-4861-bd95-e06ef386d73f	0.02317073 	0.04946365 	-0.04713231
e7c35739-3b56-47ca-869a-3ef38f804f31	-0.02184087 	-0.00318979 	0.00320000
187b8a58-faa4-42b6-ad5e-62c88205a016	0.00149477 	0.02089552 	-0.02046784
7cb75ec4-99e1-439c-ad3e-8b6bc0c9bf13	0.00623053 	0.00928793 	-0.00920245
3aeeedd5-25a0-4e33-8ca5-92f50d9917b6	0.00219058 	0.00491803 	-0.00489396
7ec73bfa-ac5f-4bbb-ad39-c90dfa34c860	-0.01406250 	0.01267829 	-0.01251956
094c3355-6d2d-4ba4-89a2-2fac5f3f48cf	0.00000000 	-0.00307692 	0.00308642
c01208e3-9ee7-4545-ad5e-9d4f88c1215e	-0.00611621 	0.00000000 	0.00000000
dd27ce49-f596-4b58-a673-87e3ad6ad517	0.00642055 	0.00478469 	-0.00476190
c1274bda-8081-4dcc-b1cf-3acfd96cb9a8	-0.01959620 	0.01877650 	-0.01843044
1d5a2404-1b6e-4660-9e7b-ea1cba9cfe94	0.02349661 	0.03657588 	-0.03528529
f3ede6b8-681a-42cf-9aa4-0abe7951a67d	-0.00777605 	0.01724138 	-0.01694915
5dcf4827-1754-4b8b-b2bd-78e9e178ba4f	-0.00618238 	0.00933126 	-0.00924499
0613c6b3-e2f7-40a2-9d27-e56542cfa97f	-0.00594354 	0.00149477 	-0.00149254
58832dd9-a0d6-4336-b274-a79e74a5fb4a	0.00149477 	-0.00298507 	0.00299401
2f0cbfd4-0074-4511-a03d-144701886a00	0.00269179 	-0.00268456 	0.00269179
949ae306-6c06-4879-9357-ffaf4b3790cd	0.01162791 	0.03879310 	-0.03734440
434433a3-9313-4d16-b257-83dc3cee0eb7	0.04033380 	0.01336898 	-0.01319261
05cb8f2d-93c6-4cb6-9b1e-0cd6c4f2a0e7	0.00693481 	-0.01239669 	0.01255230
b4163bce-f597-434c-a7d9-1f34f8e00176	0.00997009 	0.07798618 	-0.07234432
ee507c51-9be8-4c63-ab4b-d6c0e6babbab	-0.02872777 	0.01126761 	-0.01114206
571ff6c9-db1b-48e3-b865-3de9625e4e4f	-0.03112314 	0.01256983 	-0.01241379
0a84bd24-6e25-40c2-8cf4-caac74d79ec5	-0.01071429 	-0.02310469 	0.02365115
a8d84995-1a06-4afa-8379-ea70f3bbe295	0.01451379 	-0.01859800 	0.01895044
762d2e23-1eb0-4e8f-91b7-24227f69275c	-0.01875902 	-0.00294118 	0.00294985
edbcff2c-8f50-417d-b001-d14bab49857f	0.02282454 	0.01813110 	-0.01780822
a1fa31bd-807a-4e11-ae2b-35e92897be31	0.02812940 	-0.02872777 	0.02957746
559751f6-1659-46b7-a620-cdcd05aa8748	-0.00783546 	0.02615992 	-0.02549303
4946691d-eb69-4d18-a3f9-df001b6b9109	-0.00375000 	0.01254705 	-0.01239157
bd6b3f65-93d7-4f52-8c82-edf0252f1f5e	0.01122020 	-0.02219140 	0.02269504
4d86f277-6606-43ed-8aeb-568076d01680	0.02861035 	0.00000000 	0.00000000
905cf950-0448-406f-953e-fdc90d46499e	-0.00266312 	-0.01335113 	0.01353180
0f3117ce-155c-491b-9717-fbc536b06557	-0.00690608 	0.00000000 	0.00000000
2589b86e-e054-4add-8c60-6c0eb7324844	0.00000000 	-0.02503477 	0.02567760
11c1357f-a0fe-41b0-a4c2-93080f87a60f	0.00474383 	0.00566572 	-0.00563380
e63dd9fe-4c89-4200-b229-3b0793c29f4c	0.02609890 	0.03614458 	-0.03488372
beef8785-b379-4cfc-8c00-0c9978ce5995	0.00983146 	-0.00417246 	0.00418994
203427f6-a8f5-4c14-8976-a355e3002e12	0.01673640 	-0.03292181 	0.03404255
c4321bd8-24bc-43f4-8093-1eb3a8b2c24f	0.04449938 	0.00295858 	-0.00294985
c6c49a86-f2b7-4b62-94a4-32830586e1b8	0.07798618 	0.02747253 	-0.02673797
b0be20f0-f16c-4dfd-9cfd-0f31789970f6	0.00295858 	0.00648968 	-0.00644783
4b7df0f1-7433-4379-8b21-0f8fcaee1e31	0.02933619 	0.00686499 	-0.00681818
f3b25e25-9b90-4e30-b534-7095ac60bd21	-0.00813008 	-0.00409836 	0.00411523
bd8dbca9-6383-41b5-89e6-842da9dc7816	0.01664355 	-0.03410641 	0.03531073
17627793-af17-4554-8412-db5db59edf01	-0.00356718 	-0.00954654 	0.00963855
d2158f21-ff60-4cb0-b078-9c88872f297c	-0.04988789 	-0.03539823 	0.03669725
08d04a19-42aa-458a-a6dc-f5ad573dfead	-0.01574803 	-0.00266667 	0.00267380
0dbe04da-3857-4354-bb3d-dd42e67cad8d	-0.01622323 	0.02242744 	-0.02193548
24bb4b30-7992-474a-b1d6-d4d7bf5f1baf	0.05633803 	-0.01176471 	0.01190476
3ab8fed0-1618-4fcc-a00a-5c2f70c2d275	0.01485149 	-0.04146341 	0.04325700
1f1c9a79-b4a6-42c4-89e8-2e9886a3da6c	0.00655542 	0.00473653 	-0.00471420
f8d90965-212f-4d8f-818e-55f34cfe9979	-0.01478041 	0.00771539 	-0.00765632
312ea817-1b5a-42ac-bad0-6e7ab31e470c	-0.02557545 	0.00918635 	-0.00910273
c151fa4b-e6ba-4f68-8169-72c119fec7d6	0.01731025 	-0.00130890 	0.00131062
b88179d9-f25b-4e6b-8b28-465c80b902ee	0.01101322 	0.00261438 	-0.00260756
8957e9cf-4ae1-4afa-b6fa-8b7b1f6581a2	0.00505051 	0.01256281 	-0.01240695
7683bec3-1bbe-4514-90ad-024cbdc26768	-0.00733496 	0.00985222 	-0.00975610
1d7ee11f-6a10-48e2-9245-39e3df4c51d5	0.04226268 	-0.00436681 	0.00438596
b1863c31-f940-4678-9af2-7e20a82ad0ee	0.02774275 	0.00613497 	-0.00609756
8854e9da-4c78-4763-9abc-8b195cb5be77	0.01207851 	0.00149180 	-0.00148957
ae22a65a-058d-4163-8a30-eda79be5bc50	-0.00884956 	0.01530612 	-0.01507538
3aafa41a-4aed-4d15-99fe-e3332f66a67c	0.00061538 	0.01353014 	-0.01334951
4bebc3e4-43c9-4825-8338-beac6880919b	-0.03803132 	0.01162791 	-0.01149425
11fb0dc3-65f0-4866-ba0e-73db84de676f	0.01566580 	-0.00899743 	0.00907912
efabd86a-73ff-497b-9669-4b8550f38d4e	-0.01069959 	0.03993344 	-0.03840000
2cd09e59-5552-410a-9360-ad4279115c01	-0.01008827 	-0.00127389 	0.00127551
15bc752e-87d1-4c00-a2e6-3214456b3b72	-0.00930233 	-0.00704225 	0.00709220
1b74d1de-b460-4bba-9fa8-202fbae02f27	-0.00979887 	-0.01875000 	0.01910828
c7a8323d-f466-4aa6-b9da-8cf230528ffd	-0.00576369 	-0.03188406 	0.03293413
981a3a4c-ca72-415c-a6e1-bf66a3135f64	0.01429109 	0.02002225 	-0.01962923
ec38b62d-dd8e-45e1-b496-af1eae7c8ecc	0.00868486 	-0.00738007 	0.00743494
586b277f-ed5c-4e81-9d88-138ba7a9d42d	-0.00218818 	0.00219298 	-0.00218818
045ecd02-6a47-4e22-acc5-3324c5fa5b89	-0.04384217 	-0.02959566 	0.03049828
8fd62e35-39bf-4853-a309-e0f238b28d42	0.01873536 	0.01839080 	-0.01805869
f5b49819-5729-445f-ac4d-9e09b0318dac	0.04006541 	0.17138365 	-0.14630872
058190e5-09f0-4352-b1c6-3388d73e4a4f	-0.07011070 	-0.02619048 	0.02689487
098a9c3a-5349-4862-a94f-4a75a7da1ee8	-0.00406091 	0.00713558 	-0.00708502
781526be-373f-4b09-99ad-15a163fda3e4	-0.00233918 	0.00058617 	-0.00058582
afcfa091-d500-41a2-a54a-93612e3ab16b	0.00359281 	0.00835322 	-0.00828402
ffef7b33-8fa9-4190-b72a-875bbc3d59c6	0.00564334 	-0.00673401 	0.00677966
722d6afe-7cbf-4fab-aa0d-6a92a34bf670	0.00886918 	0.01978022 	-0.01939655
215cdea6-453b-4e8e-b379-a3d1a672bf3a	0.03246073 	0.02332657 	-0.02279485
c530e60d-5b7a-4e4c-bafd-a0216cfa9c3b	-0.00537634 	0.05405405 	-0.05128205
2cbcc76e-3f6a-4372-ab5c-d18f644f3c5e	-0.00235294 	-0.00660377 	0.00664767
0235ebef-b82b-4f5d-bed6-03261c1a95fe	0.02380952 	0.02104097 	-0.02060738
18586886-b775-4384-9fca-bbb144150838	-0.01195900 	0.02593660 	-0.02528090
79ac5ead-a192-4409-9972-8e9d5c6c0034	-0.01250000 	0.04487917 	-0.04295154
b9e51774-c789-404b-8a04-a6f0634f6976	0.00191939 	-0.00383142 	0.00384615
2ff604e3-3fbe-4514-93b5-c620af1de167	0.03837472 	0.01739130 	-0.01709402
59dfca50-b5ac-4c6d-aaf8-d61b6ad59767	-0.00207469 	0.00727651 	-0.00722394
1ab7a1f3-2259-4e91-9e9a-4b3b4d997daa	-0.02964119 	-0.01982851 	0.02022963
5ea4b67d-289d-4658-aeff-25c989c9970b	-0.02016985 	0.01408451 	-0.01388889
7763319d-5921-4248-a79f-ddf926e0328b	-0.00684932 	-0.00091954 	0.00092039
718aaf2d-4bb1-4af7-b67b-b934c020e648	0.00000000 	-0.02360515 	0.02417582
db479563-9667-4ede-94df-520b55ddff8e	-0.02304965 	-0.00907441 	0.00915751
08644c3f-af24-4444-bdf1-edfd401154a6	-0.00424178 	-0.02236422 	0.02287582
d2ece047-a07f-4cb3-88d1-085330946edb	-0.04064171 	-0.04459309 	0.04667445
42ed9406-fc24-48bf-bc21-78838949f156	0.01140419 	-0.00390879 	0.00392413
e62c5905-d801-4c40-9f8e-056d2de79fa6	-0.01748971 	0.01151832 	-0.01138716
4a918222-a773-4f49-80ad-a171e337eda6	0.03926097 	-0.00555556 	0.00558659
86a7edc6-8ec3-4d9a-98ed-99014a9195b8	-0.01015228 	0.00307692 	-0.00306748
ed3b8e05-8b70-4aed-bb5d-6a8c0faf7e71	-0.01473684 	0.03205128 	-0.03105590
3089cc8d-afb2-48b1-a602-2370e3576c9f	-0.03346080 	-0.01780415 	0.01812689
d6e211f8-1559-49bb-82ac-27fa51034abc	-0.00306435 	-0.03995902 	0.04162220
60a5719b-e8e9-4868-b4e4-bb1dd8fbc0c6	0.01314348 	-0.00324324 	0.00325380
ed284f0a-417f-4d9d-aac0-97dabffc8869	0.00520833 	0.05906736 	-0.05577299
8fe9e384-8e86-4e70-89e4-f5357c72730e	-0.01886792 	0.00213675 	-0.00213220
ddc7f322-3ebb-4b8b-a642-34a592050979	0.01536773 	0.01297297 	-0.01280683
91c88474-34e5-4403-8d33-e2a7b9ab884b	-0.00390244 	0.00489716 	-0.00487329
dc0fd07c-3d83-4286-b7f5-c42d440390aa	-0.00847458 	-0.02403846 	0.02463054
f3b6ac61-e5c6-4338-ba59-88606fead384	-0.00956429 	-0.00643777 	0.00647948
d14f96e1-ace6-4ee7-9287-08c7b3b2fb89	0.01297297 	-0.00747065 	0.00752688
32801a4b-b8dd-4c4a-a5c9-792de946bc54	0.01382979 	0.00104932 	-0.00104822
0facc7f6-a7da-4f9a-bcdc-3f83233ce066	-0.04714142 	-0.03473684 	0.03598691
a76caec6-8294-49d7-a937-133f80b366c2	-0.00283286 	0.01136364 	-0.01123596
ce2aec84-1af5-427b-b4fd-6104cad46e28	0.01740812 	0.00475285 	-0.00473037
6640a5ae-4ae9-4b70-bb33-b01ba2e5053d	-0.00981354 	0.02081269 	-0.02038835
ef928ae3-bcc3-417c-9df9-8db90922e5fa	-0.00546976 	0.00452928 	-0.00450886
35461fb0-af5f-4f3b-889a-eb69e3ca1360	-0.04954955 	-0.00387764 	0.00389273
943c3f42-3ef4-40dd-8344-81d5fcc15533	0.00849324 	-0.00187149 	0.00187500
ccd8cfaf-b884-4a4a-a814-a8290d8229c4	-0.05754717 	-0.01901902 	0.01938776
4c9badaa-c14c-4cb5-a8fc-fa353fdeeed7	0.17138365 	0.01275168 	-0.01259112
a925e40a-bdd7-4407-8ee6-5c84ff4a3447	-0.00854498 	0.00311228 	-0.00310263
38917e1e-0db9-4e0e-8145-3c4b42481a25	0.03235014 	-0.01658986 	0.01686973
8dec592b-d120-4ef3-abb9-b4f08f596896	0.00100908 	0.01411290 	-0.01391650
1a61c22c-d454-41fe-aab3-8019e7d8f058	-0.03200000 	0.00578512 	-0.00575185
e774622d-9212-4b47-91e2-e020aeed39e0	-0.00284024 	-0.00854498 	0.00861863
447bc281-4727-487e-bc7d-a4fbce792b0f	0.00203459 	0.01522843 	-0.01500000
f05241d3-ce81-42bc-b5b0-79a3c36777e8	0.00785083 	-0.02921130 	0.03009027
cb584807-923b-4e37-9b62-7af2aee725bc	0.00578512 	-0.02218570 	0.02268908
ea12f040-c596-46ae-9009-9e27ad234df9	-0.01759531 	0.00029851 	-0.00029842
71cccdd3-7923-4e6c-8441-39c7792c0620	0.00712106 	-0.01717172 	0.01747174
4ed2453a-3766-4110-a969-102da74d8ee2	-0.03059679 	-0.00156250 	0.00156495
e0d20527-30b2-48b4-a40c-93458515bd43	-0.00780546 	0.00151286 	-0.00151057
965ddca4-5433-4c45-afe5-ee6f231cb103	-0.01188119 	0.00300601 	-0.00299700
f7e2cd94-11ec-45de-9d02-8e4de3cc88a0	-0.01478060 	0.00609470 	-0.00605778
ae0180e0-41de-48d4-a2cf-fb60d0d243ef	-0.01217228 	0.01706161 	-0.01677540
1fe73e40-cf06-48ac-b107-8a45bf1bf638	-0.01440230 	-0.00949830 	0.00958938
a3be241a-0c30-4fe0-b7eb-cf13a0555d08	-0.00726033 	-0.00014925 	0.00014928
fad26d03-14da-4333-bca5-0646d1f3e7b6	-0.04460303 	0.02521008 	-0.02459016
d1c3b359-bbf9-47e9-94bc-064b7bde4a73	0.15317287 	-0.06688805 	0.07168277
6f3cca45-84ef-4f05-82ce-f03fc3155976	-0.03849722 	0.01109503 	-0.01097328
7e19d727-fcb3-41d7-aaad-78b7ce028197	0.05566219 	-0.00727273 	0.00732601
e1cc0816-207b-49a5-a6a9-f52017110633	-0.04399185 	0.00639114 	-0.00635055
a4ed9d6c-6933-40e5-8a68-984decf1a782	0.02941176 	0.03809524 	-0.03669725
34ce0d7c-be5c-4e1c-9ceb-b8fe8b8e5af5	-0.00355556 	-0.02140946 	0.02187785
8fa60996-6f1d-4315-93e7-a005d2db448a	-0.02407407 	0.02466793 	-0.02407407
b978524e-9c28-49df-8314-47d6916d8101	0.00094340 	0.03298775 	-0.03193431
64dffdae-63a3-405b-a506-2957a8e9c5ab	-0.00285987 	0.02485660 	-0.02425373
59e0cda8-f6eb-4ec8-b954-a3bb1c2bf990	0.03691814 	-0.00541796 	0.00544747
6af3e2b4-b85a-4baf-994f-32a2a6f0e360	-0.00915751 	-0.01478743 	0.01500938
9bc49a0a-7552-417d-8879-7f84c9cedc1b	-0.01372370 	-0.03849722 	0.04003859
cb90a9af-f32a-4d07-9dad-fcf9a3408730	-0.00652985 	0.00563380 	-0.00560224
862fbf03-30b7-44f2-8ddc-78cf38636d9b	0.03548387 	-0.01059190 	0.01070529
a515c81e-e06c-4d5b-aa61-77d2fb640151	-0.04435484 	-0.01518987 	0.01542416
a000940f-a9f2-4a46-a72d-05368d88cfe5	0.02708006 	0.04356133 	-0.04174295
6494f504-0842-4a22-90c0-aed95faaad97	-0.03000000 	0.00557258 	-0.00554170
32478992-ba24-4c92-9f7c-3a1f4a21fa2c	0.09113422 	0.03949160 	-0.03799127
8e2e03b9-298b-4228-86fe-90f5866415d0	0.01581395 	0.00000000 	0.00000000
6236b04c-3079-451e-9f58-5541c7b28c4d	-0.01788909 	-0.03642987 	0.03780718
78e12045-cc80-4a78-919c-97f3726bf3a7	0.00852400 	0.04270463 	-0.04095563
d7fe1ca5-108b-4d66-8c03-4bef885d9343	-0.00815217 	0.01369863 	-0.01351351
25497388-bfc8-4216-b0ee-465cb659e19e	-0.01351351 	0.00000000 	0.00000000
5752b811-e088-4798-9bb6-a165a03b46b1	0.00851064 	0.01265823 	-0.01250000
24e38b3b-5383-42e6-89fa-cfa64d0791a5	0.02396514 	0.00042553 	-0.00042535
c876f9a8-aade-4cf5-af7c-e96b88fb59c1	0.00758180 	0.00594059 	-0.00590551
3d59298e-d7b8-45fd-be78-51818b38d13a	0.03734088 	0.02945187 	-0.02860927
98390824-3240-4651-806f-7314ac2ca2d7	0.00877193 	0.08695652 	-0.08000000
04386b20-053b-42b2-8422-31e16fab4837	0.00806452 	0.00000000 	0.00000000
2f627e1c-48b1-43b7-a844-e02c457dd6c6	-0.02554648 	-0.03000000 	0.03092783
f9fadbfd-c8ce-4b6d-a00d-21ee514aadac	0.01987353 	-0.01062888 	0.01074306
19bac41c-a82b-4f9f-9e35-7853d78008df	0.04356133 	-0.00549249 	0.00552283
1d32da12-a7b6-4712-9278-70ec645956e2	-0.02183040 	0.00944206 	-0.00935374
642cf447-e772-4086-ad21-f8855fbd562b	0.03625000 	-0.02985525 	0.03077401
4304589a-7277-4d0a-8c35-f7c1836ab396	0.08503937 	-0.00725689 	0.00730994
2654b439-4c56-4f16-89bd-baf9ef5a161c	0.01446100 	-0.03239741 	0.03348214
4ed9ceb0-ac5f-4573-b691-27e178b640d0	0.10714286 	-0.13709677 	0.15887850
3fff707e-65af-422a-b633-45b4fc8d889b	-0.01057246 	-0.01876466 	0.01912351
1d071d2e-d68f-41ca-9b0a-e2f544c82d4a	-0.00653595 	-0.00657895 	0.00662252
a9cdea49-3909-4b97-8698-664580275d04	0.04743665 	-0.04163151 	0.04343998
30d90752-6ee8-44ba-9077-6aa1f76debb9	0.01323408 	-0.00653061 	0.00657354
7a890a6f-5d32-455f-9bf6-5b9eaf45ed52	0.00069832 	-0.01744592 	0.01775568
2bd23adc-7053-4fd5-bb69-dcd6ee559209	0.03358342 	-0.00414794 	0.00416522
b22f9050-f117-4a94-af83-59b6bc59bcbd	-0.03091603 	-0.06104766 	0.06501678
af8df4b8-1a0b-417b-8f9f-17d4e6a09e66	0.00582848 	-0.02400662 	0.02459712
5a811024-5341-4f57-aad8-ae9be4285e9a	0.05924596 	0.00762712 	-0.00756939
6a8e9962-d784-44fe-8d8c-6feac811a805	-0.00833333 	-0.01764706 	0.01796407
